ranking,score_final,roe_score,growth_2006_score,growth_2017_score,ev_ebit_score,symbol,companyName,exchange,sector,industry,returnOnEquityTTM,returnOnEquityTTM_win,returnOnEquityTTM_original,ev_ebit,ev_ebit_win,ev_ebit_original,returnOnInvestedCapitalTTM,revenue_per_share_cagr_2006_ltm,revenue_per_share_cagr_2017_ltm,operating_income_per_share_cagr_2006_ltm,operating_income_per_share_cagr_2017_ltm,revenue_per_share_2006,revenue_per_share_2017,revenue_per_share_ltm,operating_income_per_share_2006,operating_income_per_share_2017,operating_income_per_share_ltm,revenue_2006,revenue_2017,revenue_ltm,operatingIncome_2006,operatingIncome_2017,operatingIncome_ltm,shares_2006,shares_2017,shares_ltm,marketCapTTM,enterpriseValueTTM,ebit_ltm,current_price,trading_currency,fair_value_min,fair_value_max,g_min,g_max,reported_currency
5,0.9342250441592068,1.0,1.0,1.0,0.8026751324776206,CROX,"Crocs, Inc.",NASDAQ,Consumer Cyclical,Apparel - Footwear & Accessories,0.519339331595147,0.4815351654617787,0.519339331595147,1.5303101415446652,1.5303101415446652,1.5303101415446652,0.23001270278615,0.1897627824402499,0.2087381073576482,0.188662759903692,0.7039115893216237,2.377584505833905,14.165289599335686,64.54805656012772,0.6390619637954701,0.2399280326620995,17.047372365034374,354728000.0,1023513000.0,3962347000.0,95346000.0,17336000.0,1046470000.0,149196800.0,72255000.0,61386000.0,5857835568.0,1587885000.0,1037623000.0,97.811,USD,78.98301005307864,152.19789949497124,0.02063902526442163,0.0917565896814245,USD
11,0.9151513677526352,0.7714126473094649,1.0,1.0,0.974041455948441,AAM-PA,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,0.3774266948537124,0.3774266948537124,0.3774266948537124,-1.605293979854767,-1.605293979854767,-1.605293979854767,-0.0454542901931066,0.1560510213939785,0.1932446892356925,0.2889931855667744,0.2354365967427614,3.573256591783352,13.6707126797664,56.18588640275387,0.3922971239172446,8.991108408830689,48.795180722891565,346480000.0,2610173000.0,32644000000.0,38039000.0,1716688000.0,28350000000.0,96964769.0,190931743.0,581000000.0,98961870000.0,-6853000000.0,4269000000.0,25.04,USD,66.2299130992919,100.66532923570865,0.009218837091833049,0.06017174239904263,USD
13,0.9151513677526352,0.7714126473094649,1.0,1.0,0.974041455948441,AAM-PB,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,0.3774266948537124,0.3774266948537124,0.3774266948537124,-1.605293979854767,-1.605293979854767,-1.605293979854767,-0.0454542901931066,0.1560510213939785,0.1932446892356925,0.2889931855667744,0.2354365967427614,3.573256591783352,13.6707126797664,56.18588640275387,0.3922971239172446,8.991108408830689,48.795180722891565,346480000.0,2610173000.0,32644000000.0,38039000.0,1716688000.0,28350000000.0,96964769.0,190931743.0,581000000.0,98961870000.0,-6853000000.0,4269000000.0,25.04,USD,66.2299130992919,100.66532923570865,0.009218837091833049,0.06017174239904263,USD
16,0.9088303494827285,0.8483624831677533,1.0,1.0,0.8781285652804317,LULU,Lululemon Athletica Inc.,NASDAQ,Consumer Cyclical,Apparel - Retail,0.4124729457965357,0.4124729457965357,0.4124729457965357,0.1496882662640441,0.1496882662640441,0.1496882662640441,0.2924589562327406,0.2600538325624895,0.2047722421540372,0.371512584290764,0.2368774561624804,0.9394720331358808,17.10161504457056,75.90611239998105,0.0416162568359527,3.0721736720015174,16.829032716253966,84129093.0,2344392000.0,9619278000.0,3726708.0,421152000.0,2132676000.0,89549332.0,137086000.0,126726000.0,49978169010.0,325682000.0,2175735000.0,411.7,USD,162.6725472649202,486.28795287519387,0.10572244335511956,0.16270018496927074,USD
15,0.9151513677526352,0.7714126473094649,1.0,1.0,0.974041455948441,APO-PB,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,0.3774266948537124,0.3774266948537124,0.3774266948537124,-1.605293979854767,-1.605293979854767,-1.605293979854767,-0.0454542901931066,0.1560510213939785,0.1932446892356925,0.2889931855667744,0.2354365967427614,3.573256591783352,13.6707126797664,56.18588640275387,0.3922971239172446,8.991108408830689,48.795180722891565,346480000.0,2610173000.0,32644000000.0,38039000.0,1716688000.0,28350000000.0,96964769.0,190931743.0,581000000.0,98961870000.0,-6853000000.0,4269000000.0,26.63,USD,66.2299130992919,100.66532923570865,0.009218837091833049,0.06017174239904263,USD
14,0.9151513677526352,0.7714126473094649,1.0,1.0,0.974041455948441,APO-PA,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,0.3774266948537124,0.3774266948537124,0.3774266948537124,-1.605293979854767,-1.605293979854767,-1.605293979854767,-0.0454542901931066,0.1560510213939785,0.1932446892356925,0.2889931855667744,0.2354365967427614,3.573256591783352,13.6707126797664,56.18588640275387,0.3922971239172446,8.991108408830689,48.795180722891565,346480000.0,2610173000.0,32644000000.0,38039000.0,1716688000.0,28350000000.0,96964769.0,190931743.0,581000000.0,98961870000.0,-6853000000.0,4269000000.0,88.0425,USD,66.2299130992919,100.66532923570865,0.009218837091833049,0.06017174239904263,USD
18,0.903869318580845,1.0,0.9105724275651684,0.6564093840853598,0.9865745499176268,EW,Edwards Lifesciences Corporation,NYSE,Healthcare,Medical - Devices,0.5409792884110709,0.4815351654617787,0.5409792884110709,-1.834620374374498,-1.834620374374498,-1.834620374374498,0.1292160453811109,0.10529459881164,0.0779403144906827,0.130298366522765,0.0575262510101119,1.4772079772079771,5.429587482219061,9.89747816054063,0.2467236467236467,1.6164058795637744,2.528597329817043,1037000000.0,3435300000.0,6004800000.0,173200000.0,1022700000.0,1534100000.0,702000000.0,632700000.0,606700000.0,43040203999.99999,-2969700000.0,1618700000.0,71.51,USD,104.75063548081631,207.93903777302586,0.12543690020072995,0.15787151403857785,USD
29,0.8831750477492378,1.0,0.4442312386575147,0.8811964581341425,0.8863092943722605,SBR,Sabine Royalty Trust,NYSE,Energy,Oil & Gas Exploration & Production,10.884556278628674,0.4815351654617787,10.884556278628674,0.0,0.0,0.0,11.053993683558186,0.0220756450222341,0.1227179129176052,0.0222479969334972,0.127781986228946,4.249708817508606,2.5490110152410823,6.43482776489616,4.1038087101992575,2.3820725142316066,6.233847954074754,61957971.0,37162911.0,93815574.0,59830843.0,34729057.0,90885420.0,14579345.0,14579345.0,14579345.0,964423671.75,0.0,90251235.0,66.95,USD,45.03743580502418,76.60191542111308,0.04885721793979447,0.09993726012045082,USD
31,0.8802674773775345,1.0,0.3375731136883157,0.7529557416941896,1.0,MSB,Mesabi Trust,NYSE,Basic Materials,Steel,2.310881425552749,0.4815351654617787,2.310881425552749,-5.052333741551011,-2.080274804937688,-5.052333741551011,0.8564382425284051,0.0030424183114061,0.0971723546285958,-0.0043994491421722,0.0864572123936673,1.6448030908513027,0.8298159071525097,1.7425313700218217,1.5804010057919162,0.7486584232786407,1.4533985873486377,21579833.0,10887193.0,22862029.0,20734877.0,9822406.0,19068604.0,13120010.0,13120010.0,13120010.0,309501035.9,-95910149.0,18983336.0,24.22,USD,37.21109878552316,59.02972223807329,0.009774061906533432,0.06519940415730227,USD
30,0.880815223634024,1.0,1.0,0.7421025966964839,0.8307107753136388,OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",NASDAQ,Industrials,"Airlines, Airports & Air Services",0.5333067950614889,0.4815351654617787,0.5333067950614889,1.0173232521593072,1.0173232521593072,1.0173232521593072,0.2369760623875017,0.123232126234609,0.0950104075040429,0.147611051432559,0.1235129424871495,4.115114139883039,18.111596044279626,37.43714303637581,1.52696667029377,8.22819612135764,20.889559032282268,1626182000.0,7129827000.0,14457080000.0,603416000.0,3239119000.0,8066909000.0,395173000.0,393660889.0,386169425.0,606804762272.1713,8464866000.0,8320724000.0,77.03,USD,112.99221451432668,211.98106836817522,0.07677252316144964,0.12554624207025253,MXN
26,0.8889688408666545,1.0,0.4206443108970558,1.0,0.8233325586577585,ROCC,Ranger Oil Corporation,NASDAQ,Energy,Oil & Gas Exploration & Production,1.1498952262012474,0.4815351654617787,1.1498952262012474,1.15232741217267,1.15232741217267,1.15232741217267,0.6148972171919107,0.0178665391186156,0.2316027310073514,0.0707423486401033,0.3281487855869089,40.358064343450565,10.673112830088025,56.50101460034645,9.12863337080456,3.4549879967991464,33.45186834941846,753929000.0,160054000.0,1141603000.0,170532000.0,51811000.0,675895000.0,18681000.0,14996000.0,20205000.0,757081350.0,596485000.0,517635000.0,37.47,USD,187.08664378498256,322.1335966705009,0.03250293342452995,0.08962826007284157,USD
