ranking,score_final,roic_score,growth_2006_score,growth_2017_score,ev_ebit_score,symbol,companyName,exchange,sector,industry,current_price,fair_value_min,fair_value_max,trading_currency,reported_currency,ey_overall_min,ey_overall_max,ey_q1_min,ey_q1_max,ey_q2_min,ey_q2_max,ey_q3_min,ey_q3_max,ey_q4_min,ey_q4_max,ey_q5_min,ey_q5_max,fair_value_min_unconverted,fair_value_max_unconverted,marketCapTTM,enterpriseValueTTM,returnOnEquityTTM,returnOnInvestedCapitalTTM,returnOnInvestedCapitalTTM_win,returnOnInvestedCapitalTTM_original,ev_ebit,ev_ebit_win,ev_ebit_original,revenue_per_share_cagr_2006_ltm,revenue_per_share_cagr_2006_ltm_win,revenue_per_share_cagr_2006_ltm_original,revenue_per_share_cagr_2017_ltm,revenue_per_share_cagr_2017_ltm_win,revenue_per_share_cagr_2017_ltm_original,operating_income_per_share_cagr_2006_ltm,operating_income_per_share_cagr_2017_ltm,revenue_per_share_2006,revenue_per_share_2017,revenue_per_share_ltm,operating_income_per_share_2006,operating_income_per_share_2017,operating_income_per_share_ltm,revenue_2006,operatingIncome_2006,shares_2006,revenue_2017,operatingIncome_2017,shares_2017,revenue_ltm,operatingIncome_ltm,shares_ltm,netIncome_ltm,incomeTaxExpense_ltm,interestExpense_ltm,ebit_ltm
23,0.85791,0.94355,1.00000,1.00000,0.63017,GOOG,Alphabet Inc.,NASDAQ,Communication Services,Internet Content & Information,147.74000,124.09396,179.21778,USD,USD,0.01300,0.06551,,,,,,,,,,,124.09396,179.21778,1786627650954.00000,1788622650954.00000,0.32485,0.25799,0.25799,0.25799,14.90146,14.90146,14.90146,0.20113,0.13030,0.20113,0.17272,0.15915,0.17272,0.19853,0.21872,0.87963,7.99764,28.61008,0.29446,1.88861,9.19120,10604917000.00000,3549996000.00000,12056115177.00000,110855000000.00000,26178000000.00000,13860968730.00000,349844000000,112390000000,12228000000.00000,100118000000,19697000000.00000,215000000.00000,120030000000.00000
24,0.85791,0.94355,1.00000,1.00000,0.63017,GOOGL,Alphabet Inc.,NASDAQ,Communication Services,Internet Content & Information,145.60000,124.09396,179.21778,USD,USD,0.01300,0.06551,,,,,,,,,,,124.09396,179.21778,1786627650954.00000,1788622650954.00000,0.32485,0.25799,0.25799,0.25799,14.90146,14.90146,14.90146,0.20113,0.13030,0.20113,0.17272,0.15915,0.17272,0.19853,0.21872,0.87963,7.99764,28.61008,0.29446,1.88861,9.19120,10604917000.00000,3549996000.00000,12056115177.00000,110855000000.00000,26178000000.00000,13860968730.00000,349844000000,112390000000,12228000000.00000,100118000000,19697000000.00000,215000000.00000,120030000000.00000
25,0.85091,1.00000,0.63138,0.53595,0.99101,MPB,"Mid Penn Bancorp, Inc.",NASDAQ,Financial Services,Banks - Regional,24.24000,14.44337,25.72849,USD,USD,0.00672,0.20632,,,,,,,,,,,14.44337,25.72849,469189440.00000,457790440.00000,0.08455,0.40552,0.27325,0.40552,2.41013,2.41013,2.41013,0.06083,0.06083,0.06083,0.05936,0.05936,0.05936,0.01440,0.05818,5.26627,10.19517,16.17092,5.47510,4.56921,7.18344,18510000.00000,19244000.00000,3514820.00000,43193000.00000,19358000.00000,4236616.00000,268642000,119335999,16612657.00000,49437000,10595000.00000,129912000.00000,189944000.00000
27,0.84788,1.00000,0.39313,0.73786,0.89884,MTH,Meritage Homes Corporation,NYSE,Consumer Cyclical,Residential Construction,69.14000,26.54626,72.89945,USD,USD,0.00615,0.81706,,,,,,,,,,,26.54626,72.89945,4961894326.00000,5616874326.00000,0.15903,0.80481,0.27325,0.80481,5.60080,5.60080,5.60080,0.01593,0.01593,0.01593,0.10278,0.10278,0.10278,0.04559,0.21836,130.87266,80.79115,176.72012,12.54583,6.02840,29.26799,3461320000.00000,331812000.00000,26448000.00000,3254833000.00000,242866000.00000,40287000.00000,6378536000,1056399000,36094000.00000,786186000,216684000.00000,0.00000,1002870000.00000
29,0.84782,1.00000,1.00000,1.00000,0.54345,ADBE,Adobe Inc.,NASDAQ,Technology,Software - Infrastructure,349.07000,187.62338,479.79200,USD,USD,0.00499,0.08101,,,,,,,,,,,187.62338,479.79200,148773634000.00000,148578634000.00000,0.47720,0.31766,0.27325,0.31766,17.90320,17.90320,17.90320,0.13796,0.13030,0.13796,0.16602,0.15915,0.16602,0.17002,0.19563,4.33735,14.79139,50.54358,0.92849,4.39213,18.34174,2575300000.00000,551293000.00000,593750000.00000,7301505000.00000,2168095000.00000,493632000.00000,22037000000,7997000000,436000000.00000,6751000000,1394000000.00000,154000000.00000,8299000000.00000
32,0.84201,0.65224,1.00000,1.00000,0.87379,FSFG,"First Savings Financial Group, Inc.",NASDAQ,Financial Services,Banks - Regional,23.27000,4.60593,24.80220,USD,USD,0.00703,0.60140,,,,,,,,,,,4.60593,24.80220,160902044.00000,485513044.00000,0.11015,0.17924,0.17924,0.17924,6.46807,6.46807,6.46807,0.16186,0.13030,0.16186,0.16728,0.15915,0.16728,0.12874,0.16766,1.13900,5.71511,19.69771,0.84693,2.44695,8.45580,7862000.00000,5846000.00000,6902544.00000,38047000.00000,16290000.00000,6657264.00000,134952000,57932000,6851153.00000,18897000,2342000.00000,53824000.00000,75063000.00000
34,0.83517,1.00000,,0.69248,1.00000,MVO,MV Oil Trust,NYSE,Energy,Oil & Gas Exploration & Production,5.23000,4.86316,11.04833,USD,USD,0.00000,0.31667,,,,,,,,,,,4.86316,11.04833,60145000.00000,58863604.00000,3.99071,0.70784,0.27325,0.70784,1.84994,2.09891,1.84994,,,,0.09302,0.09302,0.09302,,0.06602,,0.79287,1.61525,,0.72254,1.20500,50639187000.00000,19521083000.00000,0.00000,9118031.00000,8309239.00000,11499998.00000,18575409,13857500,11500000.00000,17652500,14166703.00000,0.00000,31819203.00000
35,0.83516,1.00000,0.80133,0.92020,0.61738,NVO,Novo Nordisk A/S,NYSE,Healthcare,Drug Manufacturers - General,62.55000,21.69399,62.81820,USD,DKK,0.01791,0.15320,,,,,,,,,,,147.98082,428.50072,1932875017404.39771,2020007017404.39771,0.84964,0.39065,0.27325,0.39065,15.34400,15.34400,15.34400,0.09286,0.09286,0.09286,0.14199,0.14199,0.14199,0.12984,0.14343,12.06522,22.54132,65.20532,2.83950,9.88201,28.87573,38751814800.00000,9120068400.00000,3211861048.00000,111696000000.00000,48967000000.00000,4955165692.00000,290403000000,128603000000,4453670473.00000,100988000000,26203000000.00000,4457000000.00000,131648000000.00000
37,0.83229,1.00000,0.74673,0.65709,0.81558,GL,Globe Life Inc.,NYSE,Financial Services,Insurance - Life,117.22000,30.33649,130.07607,USD,USD,0.04854,0.39392,,,,,,,,,,,30.33649,130.07607,9757709294.00000,12332036294.00000,0.21192,3.86859,0.27325,3.86859,8.48293,8.48293,8.48293,0.08257,0.08257,0.08257,0.08541,0.08541,0.08541,0.10159,0.08296,15.24537,35.72902,68.82986,3.77307,12.53665,23.71808,3421178000.00000,846706000.00000,224407644.00000,4156000000.00000,1458263000.00000,116320000.00000,5777995000,1991039000,83946053.00000,1070762000,255875000.00000,127111000.00000,1453748000.00000
38,0.83229,1.00000,0.74673,0.65709,0.81558,GL-PD,Globe Life Inc. 4.25% Junior Su,NYSE,Financial Services,Insurance - Life,15.30000,30.33649,130.07607,USD,USD,0.04854,0.39392,,,,,,,,,,,30.33649,130.07607,9757709294.00000,12332036294.00000,0.21192,3.86859,0.27325,3.86859,8.48293,8.48293,8.48293,0.08257,0.08257,0.08257,0.08541,0.08541,0.08541,0.10159,0.08296,15.24537,35.72902,68.82986,3.77307,12.53665,23.71808,3421178000.00000,846706000.00000,224407644.00000,4156000000.00000,1458263000.00000,116320000.00000,5777995000,1991039000,83946053.00000,1070762000,255875000.00000,127111000.00000,1453748000.00000
