ranking,score_final,roic_score,growth_2006_score,growth_2017_score,ev_ebit_score,symbol,companyName,exchange,sector,industry,current_price,fair_value_min,fair_value_max,trading_currency,reported_currency,ey_overall_min,ey_overall_max,ey_q1_min,ey_q1_max,ey_q2_min,ey_q2_max,ey_q3_min,ey_q3_max,ey_q4_min,ey_q4_max,ey_q5_min,ey_q5_max,fair_value_min_unconverted,fair_value_max_unconverted,marketCapTTM,enterpriseValueTTM,returnOnEquityTTM,returnOnInvestedCapitalTTM,returnOnInvestedCapitalTTM_win,returnOnInvestedCapitalTTM_original,ev_ebit,ev_ebit_win,ev_ebit_original,revenue_per_share_cagr_2006_ltm,revenue_per_share_cagr_2006_ltm_win,revenue_per_share_cagr_2006_ltm_original,revenue_per_share_cagr_2017_ltm,revenue_per_share_cagr_2017_ltm_win,revenue_per_share_cagr_2017_ltm_original,operating_income_per_share_cagr_2006_ltm,operating_income_per_share_cagr_2017_ltm,revenue_per_share_2006,revenue_per_share_2017,revenue_per_share_ltm,operating_income_per_share_2006,operating_income_per_share_2017,operating_income_per_share_ltm,revenue_2006,operatingIncome_2006,shares_2006,revenue_2017,operatingIncome_2017,shares_2017,revenue_ltm,operatingIncome_ltm,shares_ltm,netIncome_ltm,incomeTaxExpense_ltm,interestExpense_ltm,ebit_ltm
228,0.65920,0.46721,0.72201,0.68838,0.81294,CMI,Cummins Inc.,NYSE,Industrials,Industrial - Machinery,277.62000,147.94635,332.62672,USD,USD,0.00580,0.19156,,,,,,,,,,,147.94635,332.62672,38240211660.00000,44167211660.00000,0.40261,0.12922,0.12922,0.12922,8.57449,8.57449,8.57449,0.07791,0.07791,0.07791,0.09214,0.09214,0.09214,0.08024,0.07724,59.67036,122.61705,248.19505,5.93973,14.19568,25.74236,11362000000.00000,1131000000.00000,190412783.00000,20428000000.00000,2365000000.00000,166600000.00000,34102000000,3537000000,137400000.00000,3946000000,835000000.00000,370000000.00000,5151000000.00000
230,0.65817,0.20812,0.98238,0.75879,0.94723,OTEX,Open Text Corporation,NASDAQ,Technology,Software - Application,24.13000,5.32861,62.06796,USD,USD,0.00195,0.46354,,,,,,,,,,,5.32861,62.06796,6370320000.00000,5559492000.00000,0.15838,0.05918,0.05918,0.05918,3.92567,3.92567,3.92567,0.12698,0.12698,0.12698,0.10728,0.10728,0.10728,0.23609,0.13139,2.10394,9.02421,20.39253,0.06653,1.39016,3.73224,409562000.00000,12951000.00000,194664556.00000,2291057000.00000,352932000.00000,253879000.00000,5406039748,989413736,265099000.00000,660744000,298305662.00000,457141000.00000,1416190662.00000
231,0.65783,0.17183,0.68497,0.86170,0.98769,EWBC,"East West Bancorp, Inc.",NASDAQ,Financial Services,Banks - Diversified,74.04000,14.33542,93.13926,USD,USD,0.00942,0.58387,,,,,,,,,,,14.33542,93.13926,10250097600.00000,8576394600.00000,0.15737,0.04937,0.04937,0.04937,2.52519,2.52519,2.52519,0.07093,0.07093,0.07093,0.12941,0.12941,0.12941,0.29563,0.65611,6.74172,9.36240,24.78641,0.05541,0.13430,7.59963,401840000.00000,3303000.00000,59605000.00000,1352342000.00000,19399000.00000,144444000.00000,3435495000,1053339000,138604000.00000,1165586000,316275000.00000,1914480000.00000,3396341000.00000
233,0.65735,0.01928,1.00000,0.93531,1.00000,OZKAP,Bank OZK,NASDAQ,Financial Services,Banks - Regional,16.34000,16.09216,62.61618,USD,USD,0.00116,0.38714,,,,,,,,,,,16.09216,62.61618,4324027840.00000,2425966840.00000,0.13042,0.00813,0.00813,0.00813,1.36575,2.09891,1.36575,0.15544,0.13030,0.15544,0.14524,0.14524,0.14524,0.09952,-0.03700,1.40809,7.40763,21.92081,0.67610,5.54450,4.10075,93951000.00000,45111000.00000,66722105.00000,929398000.00000,695641000.00000,125465000.00000,2490752000,465948000,113625000.00000,716455000,214788000.00000,845048000.00000,1776291000.00000
234,0.65735,0.01928,1.00000,0.93531,1.00000,OZK,Bank OZK,NASDAQ,Financial Services,Banks - Regional,38.12000,16.09216,62.61618,USD,USD,0.00116,0.38714,,,,,,,,,,,16.09216,62.61618,4324027840.00000,2425966840.00000,0.13042,0.00813,0.00813,0.00813,1.36575,2.09891,1.36575,0.15544,0.13030,0.15544,0.14524,0.14524,0.14524,0.09952,-0.03700,1.40809,7.40763,21.92081,0.67610,5.54450,4.10075,93951000.00000,45111000.00000,66722105.00000,929398000.00000,695641000.00000,125465000.00000,2490752000,465948000,113625000.00000,716455000,214788000.00000,845048000.00000,1776291000.00000
235,0.65720,0.28136,0.92056,0.95471,0.74476,AN,"AutoNation, Inc.",NYSE,Consumer Cyclical,Auto - Dealerships,158.55000,50.38154,163.96819,USD,USD,0.04732,0.33881,,,,,,,,,,,50.38154,163.96819,6222611850.00000,14817511850.00000,0.29545,0.07898,0.07898,0.07898,10.93463,10.93463,10.93463,0.11533,0.11533,0.11533,0.14941,0.14941,0.14941,0.11977,0.17031,84.31883,220.19018,670.81203,3.53730,8.62372,30.34586,18988600000.00000,796600000.00000,225200000.00000,21534600000.00000,843400000.00000,97800000.00000,26765400000,1210800000,39900000.00000,692200000,224500000.00000,438400000.00000,1355100000.00000
238,0.65555,0.61081,0.46461,0.56929,0.81481,CBT,Cabot Corporation,NYSE,Basic Materials,Chemicals - Specialty,78.27000,21.47813,87.17766,USD,USD,0.01660,0.35478,,,,,,,,,,,21.47813,87.17766,4243916805.00000,5258916805.00000,0.30741,0.16804,0.16804,0.16804,8.50957,8.50957,8.50957,0.02940,0.02940,0.02940,0.06653,0.06653,0.06653,0.09450,0.10044,42.38333,43.90448,73.49908,2.10000,5.42948,11.67587,2543000000.00000,126000000.00000,60000000.00000,2717000000.00000,336000000.00000,61884347.00000,3991000000,634000000,54300000.00000,423000000,118000000.00000,77000000.00000,618000000.00000
239,0.65538,0.59439,0.32230,0.58166,0.86013,APA,APA Corporation,NASDAQ,Energy,Oil & Gas Exploration & Production,15.18000,3.49876,18.21837,USD,USD,0.01444,0.64594,,,,,,,,,,,3.49876,18.21837,5526491520.00000,11063491520.00000,0.17455,0.16360,0.16360,0.16360,6.94071,6.94071,6.94071,0.00258,0.00258,0.00258,0.06919,0.06919,0.06919,-0.01359,0.20841,25.12569,15.45144,26.38753,13.11041,2.22310,10.10840,8288779000.00000,4325026000.00000,329892617.00000,5887000000.00000,847000000.00000,381000000.00000,9737000000,3730000000,369000000.00000,804000000,417000000.00000,373000000.00000,1594000000.00000
243,0.65374,0.17324,1.00000,1.00000,0.78798,AAM-PB,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,25.04000,21.38792,71.37185,USD,USD,0.00234,0.46288,,,,,,,,,,,21.38792,71.37185,61999766400.00000,56421766400.00000,0.28090,0.04975,0.04975,0.04975,9.43823,9.43823,9.43823,0.14203,0.13030,0.14203,0.15915,0.15915,0.15915,0.19018,0.02225,3.57326,13.67071,44.55554,0.39230,8.99111,10.72172,346480000.00000,38039000.00000,96964769.00000,2610173000.00000,1716688000.00000,190931743.00000,26114000000,6284000000,586100000.00000,4577000000,1062000000.00000,339000000.00000,5978000000.00000
244,0.65374,0.17324,1.00000,1.00000,0.78798,AAM-PA,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,25.04000,21.38792,71.37185,USD,USD,0.00234,0.46288,,,,,,,,,,,21.38792,71.37185,61999766400.00000,56421766400.00000,0.28090,0.04975,0.04975,0.04975,9.43823,9.43823,9.43823,0.14203,0.13030,0.14203,0.15915,0.15915,0.15915,0.19018,0.02225,3.57326,13.67071,44.55554,0.39230,8.99111,10.72172,346480000.00000,38039000.00000,96964769.00000,2610173000.00000,1716688000.00000,190931743.00000,26114000000,6284000000,586100000.00000,4577000000,1062000000.00000,339000000.00000,5978000000.00000
245,0.65374,0.17324,1.00000,1.00000,0.78798,APO-PB,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,26.63000,21.38792,71.37185,USD,USD,0.00234,0.46288,,,,,,,,,,,21.38792,71.37185,61999766400.00000,56421766400.00000,0.28090,0.04975,0.04975,0.04975,9.43823,9.43823,9.43823,0.14203,0.13030,0.14203,0.15915,0.15915,0.15915,0.19018,0.02225,3.57326,13.67071,44.55554,0.39230,8.99111,10.72172,346480000.00000,38039000.00000,96964769.00000,2610173000.00000,1716688000.00000,190931743.00000,26114000000,6284000000,586100000.00000,4577000000,1062000000.00000,339000000.00000,5978000000.00000
247,0.65374,0.17324,1.00000,1.00000,0.78798,APO-PA,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,60.29000,21.38792,71.37185,USD,USD,0.00234,0.46288,,,,,,,,,,,21.38792,71.37185,61999766400.00000,56421766400.00000,0.28090,0.04975,0.04975,0.04975,9.43823,9.43823,9.43823,0.14203,0.13030,0.14203,0.15915,0.15915,0.15915,0.19018,0.02225,3.57326,13.67071,44.55554,0.39230,8.99111,10.72172,346480000.00000,38039000.00000,96964769.00000,2610173000.00000,1716688000.00000,190931743.00000,26114000000,6284000000,586100000.00000,4577000000,1062000000.00000,339000000.00000,5978000000.00000
248,0.65349,0.01784,1.00000,1.00000,0.94264,FCNCO,"First Citizens BancShares, Inc.",NASDAQ,Financial Services,Banks - Regional,21.56000,69.79594,2108.26228,USD,USD,0.01778,2.69328,,,,,,,,,,,69.79594,2108.26228,21090485383.00000,35953485383.00000,0.12426,0.00774,0.00774,0.00774,4.08469,4.08469,4.08469,0.14266,0.13030,0.14266,0.27433,0.15915,0.27433,0.11794,0.16743,71.95959,130.40193,906.85512,18.77875,45.26891,156.18603,750859000.00000,195946000.00000,10434453.00000,1566180000.00000,543698000.00000,12010405.00000,13006000000,2240000000,14341872.00000,2777000000,815000000.00000,5210000000.00000,8802000000.00000
249,0.65349,0.01784,1.00000,1.00000,0.94264,FCNCP,"First Citizens BancShares, Inc.",NASDAQ,Financial Services,Banks - Regional,20.19000,69.79594,2108.26228,USD,USD,0.01778,2.69328,,,,,,,,,,,69.79594,2108.26228,21090485383.00000,35953485383.00000,0.12426,0.00774,0.00774,0.00774,4.08469,4.08469,4.08469,0.14266,0.13030,0.14266,0.27433,0.15915,0.27433,0.11794,0.16743,71.95959,130.40193,906.85512,18.77875,45.26891,156.18603,750859000.00000,195946000.00000,10434453.00000,1566180000.00000,543698000.00000,12010405.00000,13006000000,2240000000,14341872.00000,2777000000,815000000.00000,5210000000.00000,8802000000.00000
250,0.65349,0.01784,1.00000,1.00000,0.94264,FCNCA,"First Citizens BancShares, Inc.",NASDAQ,Financial Services,Banks - Regional,1571.21000,69.79594,2108.26228,USD,USD,0.01778,2.69328,,,,,,,,,,,69.79594,2108.26228,21090485383.00000,35953485383.00000,0.12426,0.00774,0.00774,0.00774,4.08469,4.08469,4.08469,0.14266,0.13030,0.14266,0.27433,0.15915,0.27433,0.11794,0.16743,71.95959,130.40193,906.85512,18.77875,45.26891,156.18603,750859000.00000,195946000.00000,10434453.00000,1566180000.00000,543698000.00000,12010405.00000,13006000000,2240000000,14341872.00000,2777000000,815000000.00000,5210000000.00000,8802000000.00000
255,0.65055,0.57001,0.79168,0.55027,0.76619,GNTX,Gentex Corporation,NASDAQ,Consumer Cyclical,Auto - Parts,22.14000,20.08083,28.18216,USD,USD,0.03021,0.08814,,,,,,,,,,,20.08083,28.18216,5030119440.00000,4796800674.00000,0.16679,0.15701,0.15701,0.15701,10.19274,10.19274,10.19274,0.09104,0.09104,0.09104,0.06244,0.06244,0.06244,0.08497,0.01273,1.94683,6.27874,10.19339,0.43017,1.83079,2.02574,572267073.00000,126446976.00000,293948654.00000,1794872578.00000,523358352.00000,285864997.00000,2313314333,459726568,226942669.00000,402883647,67725940.00000,0.00000,470609587.00000
258,0.64940,0.17982,1.00000,0.96889,0.79108,HIBB,"Hibbett, Inc.",NASDAQ,Consumer Cyclical,Apparel - Retail,87.49000,20.54772,110.02639,USD,USD,0.00842,0.42097,,,,,,,,,,,20.54772,110.02639,1045330520.00000,1369948520.00000,0.10745,0.05153,0.05153,0.05153,9.33093,9.33093,9.33093,0.13112,0.13030,0.13112,0.15246,0.15246,0.15246,0.11220,0.13050,13.10107,43.74820,136.13480,1.53909,4.35090,11.60800,440269000.00000,51722000.00000,33605568.00000,972960000.00000,96764000.00000,22240000.00000,1721833000,146818000,12648000.00000,110774000,31804000.00000,4240000.00000,146818000.00000
260,0.64914,0.35516,0.79794,0.75005,0.82928,EEFT,"Euronet Worldwide, Inc.",NASDAQ,Technology,Software - Infrastructure,93.18000,50.25690,138.61871,USD,USD,0.00165,0.13749,,,,,,,,,,,50.25690,138.61871,4075926150.00000,4237426150.00000,0.24248,0.09893,0.09893,0.09893,8.00874,8.00874,8.00874,0.09222,0.09222,0.09222,0.10540,0.10540,0.10540,0.11645,0.09787,17.07264,40.92832,91.24211,1.41909,5.45220,11.50760,629181000.00000,52298000.00000,36853170.00000,2252422000.00000,300053000.00000,55033333.00000,3989800000,503200000,43727615.00000,306000000,142600000.00000,80500000.00000,529100000.00000
261,0.64866,0.43281,0.66964,0.61077,0.88650,OSK,Oshkosh Corporation,NYSE,Industrials,Agricultural - Machinery,82.58000,32.08548,105.75159,USD,USD,0.00327,0.32382,,,,,,,,,,,32.08548,105.75159,5336881144.00000,6093781144.00000,0.17030,0.11992,0.11992,0.11992,6.02808,6.02808,6.02808,0.06804,0.06804,0.06804,0.07545,0.07545,0.07545,0.07030,0.12758,46.85937,91.45873,163.66084,4.45610,6.20027,16.20258,3427388000.00000,325928000.00000,73141993.00000,6829600000.00000,463000000.00000,74674115.00000,10730200000,1062300000,65563636.00000,681400000,210000000.00000,119500000.00000,1010900000.00000
262,0.64816,0.61166,0.46514,0.36472,0.94097,IAG,IAMGOLD Corporation,NYSE,Basic Materials,Gold,5.63000,1.72760,19.07697,USD,USD,0.00951,0.84510,,,,,,,,,,,1.72760,19.07697,3222612000.00000,4028212000.00000,0.28501,0.16827,0.16827,0.16827,4.14221,4.14221,4.14221,0.02950,0.02950,0.02950,0.02254,0.02254,0.02254,0.08369,0.03304,1.62665,2.36479,2.82633,0.35285,1.25270,1.62472,303345000.00000,65801000.00000,186485000.00000,1094900000.00000,580000000.00000,463000000.00000,1637505414,941319408,579375054.00000,819600000,129279391.00000,23599113.00000,972478504.00000
264,0.64694,0.56579,0.71060,0.56715,0.76915,VMI,"Valmont Industries, Inc.",NYSE,Industrials,Conglomerates,265.28000,90.34029,291.87322,USD,USD,0.00001,0.19150,,,,,,,,,,,90.34029,291.87322,5324408352.00000,5296988352.00000,0.17969,0.15587,0.15587,0.15587,10.09029,10.09029,10.09029,0.07576,0.07576,0.07576,0.06607,0.06607,0.06607,0.09896,0.10457,50.79822,121.93459,203.43637,4.36448,11.83091,26.21537,1281281000.00000,110085000.00000,25222951.00000,2745967000.00000,266432000.00000,22520000.00000,4075034000,525120000,20031000.00000,348259000,117978000.00000,58722000.00000,524959000.00000
266,0.64641,0.68324,0.62209,0.57822,0.66593,DCI,"Donaldson Company, Inc.",NYSE,Industrials,Industrial - Machinery,60.84000,49.65683,69.47064,USD,USD,0.02940,0.07008,,,,,,,,,,,49.65683,69.47064,7271475120.00000,7659775120.00000,0.27595,0.18762,0.18762,0.18762,13.66353,13.66353,13.66353,0.05908,0.05908,0.05908,0.06845,0.06845,0.06845,0.07471,0.07939,10.20771,17.88763,30.37960,1.16148,2.47813,4.56605,1694327000.00000,192788000.00000,165984950.00000,2371900000.00000,328600000.00000,132600000.00000,3633400000,546100000,119600000.00000,418100000,120800000.00000,21700000.00000,560600000.00000
269,0.64503,0.01784,0.81348,1.00000,0.96762,WAL-PA,Western Alliance Bancorporation,NYSE,Financial Services,Banks - Regional,21.44000,32.45402,81.15825,USD,USD,0.00389,0.22000,,,,,,,,,,,32.45402,81.15825,6859193400.00000,9380193400.00000,0.12170,0.00774,0.00774,0.00774,3.21967,3.21967,3.21967,0.09515,0.09515,0.09515,0.21019,0.15915,0.21019,0.01474,0.05170,6.34426,7.75426,35.67525,5.70097,5.02966,7.52806,162222000.00000,145773000.00000,25569872.00000,807831000.00000,523985000.00000,104179000.00000,3877900000,818300000,108700000.00000,787700000,203500000.00000,1922200000.00000,2913400000.00000
270,0.64503,0.01784,0.81348,1.00000,0.96762,WAL,Western Alliance Bancorporation,NYSE,Financial Services,Banks - Regional,62.10000,32.45402,81.15825,USD,USD,0.00389,0.22000,,,,,,,,,,,32.45402,81.15825,6859193400.00000,9380193400.00000,0.12170,0.00774,0.00774,0.00774,3.21967,3.21967,3.21967,0.09515,0.09515,0.09515,0.21019,0.15915,0.21019,0.01474,0.05170,6.34426,7.75426,35.67525,5.70097,5.02966,7.52806,162222000.00000,145773000.00000,25569872.00000,807831000.00000,523985000.00000,104179000.00000,3877900000,818300000,108700000.00000,787700000,203500000.00000,1922200000.00000,2913400000.00000
271,0.64491,0.25932,0.42195,0.82701,0.95776,ZIONO,"Zions Bancorporation, National Association",NASDAQ,Financial Services,Banks - Regional,25.04000,26.87370,51.87686,USD,USD,0.00867,0.18419,,,,,,,,,,,26.87370,51.87686,6107632570.00000,10238632570.00000,0.12872,0.07302,0.07302,0.07302,3.56126,3.56126,3.56126,0.02136,0.02136,0.02136,0.12195,0.12195,0.12195,-0.01445,0.12901,21.83668,12.99458,32.62545,18.42851,5.29446,13.97652,2315933000.00000,1954472000.00000,106057000.00000,2609000000.00000,1063000000.00000,200776000.00000,4804000000,2058000000,147247000.00000,784000000,228000000.00000,1863000000.00000,2875000000.00000
272,0.64491,0.25932,0.42195,0.82701,0.95776,ZIONP,"Zions Bancorporation, National Association",NASDAQ,Financial Services,Banks - Regional,22.46590,26.87370,51.87686,USD,USD,0.00867,0.18419,,,,,,,,,,,26.87370,51.87686,6107632570.00000,10238632570.00000,0.12872,0.07302,0.07302,0.07302,3.56126,3.56126,3.56126,0.02136,0.02136,0.02136,0.12195,0.12195,0.12195,-0.01445,0.12901,21.83668,12.99458,32.62545,18.42851,5.29446,13.97652,2315933000.00000,1954472000.00000,106057000.00000,2609000000.00000,1063000000.00000,200776000.00000,4804000000,2058000000,147247000.00000,784000000,228000000.00000,1863000000.00000,2875000000.00000
273,0.64491,0.25932,0.42195,0.82701,0.95776,ZIONL,Zions Bancorporation N.A. - 6.9,NASDAQ,Financial Services,Banks,24.99520,26.87370,51.87686,USD,USD,0.00867,0.18419,,,,,,,,,,,26.87370,51.87686,6107632570.00000,10238632570.00000,0.12872,0.07302,0.07302,0.07302,3.56126,3.56126,3.56126,0.02136,0.02136,0.02136,0.12195,0.12195,0.12195,-0.01445,0.12901,21.83668,12.99458,32.62545,18.42851,5.29446,13.97652,2315933000.00000,1954472000.00000,106057000.00000,2609000000.00000,1063000000.00000,200776000.00000,4804000000,2058000000,147247000.00000,784000000,228000000.00000,1863000000.00000,2875000000.00000
274,0.64491,0.25932,0.42195,0.82701,0.95776,ZION,"Zions Bancorporation, National Association",NASDAQ,Financial Services,Banks - Regional,41.39000,26.87370,51.87686,USD,USD,0.00867,0.18419,,,,,,,,,,,26.87370,51.87686,6107632570.00000,10238632570.00000,0.12872,0.07302,0.07302,0.07302,3.56126,3.56126,3.56126,0.02136,0.02136,0.02136,0.12195,0.12195,0.12195,-0.01445,0.12901,21.83668,12.99458,32.62545,18.42851,5.29446,13.97652,2315933000.00000,1954472000.00000,106057000.00000,2609000000.00000,1063000000.00000,200776000.00000,4804000000,2058000000,147247000.00000,784000000,228000000.00000,1863000000.00000,2875000000.00000
275,0.64217,0.88751,0.32867,0.22368,0.78696,UG,"United-Guardian, Inc.",NASDAQ,Consumer Defensive,Household & Personal Products,8.88000,5.32006,10.76140,USD,USD,0.01603,0.13346,,,,,,,,,,,5.32006,10.76140,40797562.00000,38921907.00000,0.27935,0.24284,0.24284,0.24284,9.47361,9.47361,9.47361,0.00378,0.00378,0.00378,-0.00779,-0.00779,-0.00779,0.00273,-0.04420,2.46793,2.82266,2.65153,0.75374,1.13958,0.79376,12195672.00000,3724710.00000,4941657.00000,12968205.00000,5235614.00000,4594319.00000,12181971,3646792,4594319.00000,3250875,857582.00000,0.00000,4108457.00000
281,0.64122,0.51304,0.50101,0.46968,0.93249,TCFC,The Community Financial Corporation,NASDAQ,Financial Services,Banks - Regional,27.09000,33.04318,53.32003,USD,USD,0.01900,0.15737,,,,,,,,,,,33.04318,53.32003,153580524.00000,247015524.00000,0.14332,0.14161,0.14161,0.14161,4.43586,4.43586,4.43586,0.03626,0.03626,0.03626,0.04511,0.04511,0.04511,0.07774,0.14419,7.42132,10.25806,14.59990,2.50449,3.53626,10.38758,19573949.00000,6605672.00000,2637531.00000,47472000.00000,16365000.00000,4627776.00000,82515000,58708000,5651750.00000,29356000,9819000.00000,16511000.00000,55686000.00000
282,0.64122,0.39312,0.83874,0.75102,0.75583,SKX,"Skechers U.S.A., Inc.",NYSE,Consumer Cyclical,Apparel - Footwear & Accessories,50.20000,17.65499,55.21427,USD,USD,0.00701,0.23789,,,,,,,,,,,17.65499,55.21427,7497605137.00000,8310224137.00000,0.15043,0.10919,0.10919,0.10919,10.55123,10.55123,10.55123,0.09991,0.09991,0.09991,0.10561,0.10561,0.10561,0.10437,0.11841,9.78089,26.75319,59.73077,0.91323,2.45986,6.02184,1205368000.00000,112544000.00000,123237000.00000,4164160000.00000,382880000.00000,155651000.00000,8969351000,904257000,150163000.00000,639471000,148136000.00000,0.00000,787607000.00000
284,0.63949,0.71339,0.54266,0.49991,0.69362,KEQU,Kewaunee Scientific Corporation,NASDAQ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",35.67000,14.22747,58.82420,USD,USD,0.00340,0.43226,,,,,,,,,,,14.22747,58.82420,101818588.00000,144655588.00000,0.30455,0.19577,0.19577,0.19577,12.70469,12.70469,12.70469,0.04411,0.04411,0.04411,0.05161,0.05161,0.05161,0.13722,0.09933,33.73636,51.22292,76.61072,0.44823,2.41848,5.15912,84071000.00000,1117000.00000,2492000.00000,138558000.00000,6542000.00000,2705000.00000,220026000,14817000,2872000.00000,17581000,-8832000.00000,2637000.00000,11386000.00000
288,0.63753,0.56232,0.43797,0.46489,0.89265,VC,Visteon Corporation,NASDAQ,Consumer Cyclical,Auto - Parts,72.34000,5.12771,168.31843,USD,USD,0.00180,1.93849,,,,,,,,,,,5.12771,168.31843,1959003370.00000,1762003370.00000,0.23951,0.15493,0.15493,0.15493,5.81519,5.81519,5.81519,0.02438,0.02438,0.02438,0.04408,0.04408,0.04408,0.15247,0.03765,88.96233,99.55696,140.58182,0.79472,8.76582,11.78182,11418000000.00000,102000000.00000,128346457.00000,3146000000.00000,277000000.00000,31600000.00000,3866000000,324000000,27500000.00000,274000000,14000000.00000,15000000.00000,303000000.00000
292,0.63672,0.30130,0.47098,0.68266,0.98336,EQNR,Equinor ASA,NYSE,Energy,Oil & Gas Integrated,23.41000,8.60553,24.63100,USD,USD,0.00026,0.36256,,,,,,,,,,,8.60553,24.63100,64012503898.00000,85986503898.00000,0.19524,0.08437,0.08437,0.08437,2.67504,2.67504,2.67504,0.03060,0.03060,0.03060,0.09091,0.09091,0.09091,0.03540,0.13044,21.10807,18.65698,37.42314,5.80281,4.21389,11.23768,68197000000.00000,18748000000.00000,3230850000.00000,60971000000.00000,13771000000.00000,3268000000.00000,102502000000,30780000000,2739000429.00000,8807000000,22157000000.00000,1180000000.00000,32144000000.00000
295,0.63607,0.89661,0.19814,0.15527,0.84476,ISNS,Autoscope Technologies Corporation,NASDAQ,Technology,"Hardware, Equipment & Parts",6.44000,0.90025,8.37385,USD,USD,0.00199,0.99972,,,,,,,,,,,0.90025,8.37385,43802451.00000,41063451.00000,0.27209,0.24530,0.24530,0.24530,7.47288,7.47288,7.47288,-0.02082,-0.02082,-0.02082,-0.02250,-0.02250,-0.02250,-0.00579,0.10762,3.52107,2.83229,2.36092,1.04671,0.41381,0.93737,13116000.00000,3899000.00000,3725000.00000,14524000.00000,2122000.00000,5128000.00000,12893000,5119000,5461000.00000,4879000,550000.00000,66000.00000,5495000.00000
296,0.63572,0.56028,0.59954,0.39695,0.89522,DHIL,"Diamond Hill Investment Group, Inc.",NASDAQ,Financial Services,Asset Management,133.88000,77.60633,183.73500,USD,USD,0.00774,0.20076,,,,,,,,,,,77.60633,183.73500,373189161.00000,337900047.00000,0.26834,0.15438,0.15438,0.15438,5.72607,5.72607,5.72607,0.05483,0.05483,0.05483,0.02947,0.02947,0.02947,-0.01000,-0.02462,19.26318,42.10181,53.11389,19.26318,19.42731,15.91516,34430819.00000,34430819.00000,1787390.00000,145201729.00000,67001366.00000,3448824.00000,146480670,43891791,2757860.00000,43177729,15833073.00000,0.00000,59010802.00000
297,0.63528,0.28155,1.00000,0.92643,0.67800,SSNC,"SS&C Technologies Holdings, Inc.",NASDAQ,Technology,Software - Application,74.35000,38.99171,79.57481,USD,USD,0.00447,0.07925,,,,,,,,,,,38.99171,79.57481,18326234100.00000,17954234100.00000,0.11606,0.07903,0.07903,0.07903,13.24547,13.24547,13.24547,0.14954,0.13030,0.14954,0.14333,0.14333,0.14333,0.15455,0.14028,1.69013,8.17524,23.87175,0.36085,1.93689,5.53612,205469000.00000,43869000.00000,121570000.00000,1675295000.00000,396913000.00000,204923000.00000,5882000000,1364100000,246400000.00000,760500000,132000000.00000,463000000.00000,1355500000.00000
298,0.63512,0.42171,0.86129,0.61007,0.80576,EW,Edwards Lifesciences Corporation,NYSE,Healthcare,Medical - Devices,69.36000,22.39452,197.59271,USD,USD,0.00088,0.31168,,,,,,,,,,,22.39452,197.59271,40627966800.00000,38282766800.00000,0.48970,0.11692,0.11692,0.11692,8.82295,8.82295,8.82295,0.10416,0.10416,0.10416,0.07530,0.07530,0.07530,0.13101,0.05911,1.47721,5.42959,9.70549,0.24672,1.61641,2.55900,1037000000.00000,173200000.00000,702000000.00000,3435300000.00000,1022700000.00000,632700000.00000,5724300000,1509300000,589800000.00000,4174600000,164400000.00000,0.00000,4339000000.00000
301,0.63446,0.35720,1.00000,0.55352,0.87211,UGP,Ultrapar Participações S.A.,NYSE,Energy,Oil & Gas Refining & Marketing,2.95000,1.57435,7.89024,USD,BRL,0.00000,0.25712,,,,,,,,,,,9.21751,46.19579,18642969618.11304,32362154619.11304,0.16302,0.09948,0.09948,0.09948,6.52611,6.52611,6.52611,0.15710,0.13030,0.15710,0.06314,0.06314,0.06314,0.12280,0.07413,7.53242,73.83306,120.49775,0.51912,2.64567,4.68798,4782515100.00000,329601332.00000,634923919.00000,80007422000.00000,2866920000.00000,1083626000.00000,133498913000,5193793999,1107895460.00000,2362740000,1485617000.00000,1110516000.00000,4958873000.00000
304,0.63347,0.00000,0.74026,1.00000,0.97053,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",NYSE,Financial Services,Banks - Regional,33.67000,23.69768,46.84427,USD,USD,0.01453,0.23631,,,,,,,,,,,23.69768,46.84427,1152708612.00000,2031723612.00000,0.15995,0.00182,0.00292,0.00182,3.11896,3.11896,3.11896,0.08135,0.08135,0.08135,0.16216,0.15915,0.16216,-0.09813,-0.20472,2.65856,3.53087,11.74890,5.45348,4.78907,0.76632,98677000.00000,202415000.00000,37116667.00000,138802000.00000,188263000.00000,39311000.00000,432242000,28193000,36790002.00000,205873000,50184000.00000,395353000.00000,651410000.00000
307,0.63245,0.03130,0.62087,1.00000,0.96840,NBN,Northeast Bank,NASDAQ,Financial Services,Banks - Regional,82.63000,6.34886,89.53004,USD,USD,0.00588,1.37977,,,,,,,,,,,6.34886,89.53004,659196525.00000,721611525.00000,0.17519,0.01138,0.01138,0.01138,3.19283,3.19283,3.19283,0.05885,0.05885,0.05885,0.19994,0.15915,0.19994,-0.00368,0.09958,9.60326,6.62231,28.46347,9.20846,4.01731,8.58491,23530184.00000,22562838.00000,2450230.00000,58983000.00000,35781000.00000,8906710.00000,228970000,69060000,8044345.00000,68551000,33320000.00000,124139000.00000,226010000.00000
